Name	Type	Unlock Prerequisite	Research Scrolls	Antique Tokens	Tier	Value	Crafting Time (seconds)	Crafting Time (formatted)	Value / Crafting Time	Merchant XP	Merchant XP / Crafting Time	Worker XP	Fusion XP	Favor	Airship Power		Required Worker 	Worker Level	Required Worker	Worker Level	Required Worker	Worker Level														Component	Component Quality	Amount Needed	Component	Component Quality	Amount Needed		ATK	DEF	HP	EVA	CRIT		Elemental Affinity	Spirit Affinity		Crafting Upgrade 1	Crafts Needed	Crafting Upgrade 2	Crafts Needed	Crafting Upgrade 3	Crafts Needed	Crafting Upgrade 4	Crafts Needed	Crafting Upgrade 5	Crafts Needed		Ascension Upgrade 1	Shards Needed	Ascension Upgrade 2	Shards Needed	Ascension Upgrade 3	Shards Needed		Discount Energy	Surcharge Energy	Suggest Energy	Speed Up Energy
Tsukuyomi	Sword	Moon Festival Superior Pack	---	300	11	1650000	60000	16:40:00	27.5	105000	1.75	1575	7875	3479	720		Blacksmith	27	Master	23	Jeweler	20		354	---	---	---	103	---	---	---	---	25	---		Sigil of Might	---	1	Grim Talon	---	3		600	---	---	---	0.05		Dark	---		-25% Craft Time Reduction	6	-21 Steel Spent	16	x1.25 Value Increase	28	-4 Jewels Spent	45	Quality Chance x2	70		-106 Iron Spent	60	-4 Jewels Spent	60	+10% Multicraft Chance	60		1130	2510	500	2950
Excalibur	Sword	---	125	---	12	2600000	85800	23:50:00	30.3	195000	2.27	2925	14625	4046	584		Blacksmith	29	Master	25	Jeweler	22		387	---	---	---	113	---	---	---	---	31	---		Sigil of True Might	---	1	Raw Obsidian	---	3		730	---	---	---	---		Light	---		-20% Craft Time Reduction	6	-77 Iron Spent	14	x1.25 Value Increase	26	Blueprint: Djinn Pyre	40	Quality Chance x2	60		-9 Jewels Spent	80	-34 Steel Spent	80	+10% Multicraft Chance	80		1405	3120	625	3290
Titan Sword	Sword	Shop Titans Superior Pack	---	350	12	2800000	85800	23:50:00	32.63	195000	2.27	2925	14625	4570	804		Blacksmith	29	Master	25	Priestess	22		390	---	---	---	110	---	---	---	31	---	---		Sigil of True Might	---	1	Zirconia Eggshell	---	4		730	183	---	---	---		Light	---		-20% Craft Time Reduction	6	-78 Iron Spent	14	-17 Steel Spent	26	x1.25 Value Increase	40	Quality Chance x2	60		-8 Ether Spent	80	-17 Steel Spent	80	+15% Multicraft Chance	80		1455	3235	645	3290
Opulent Brand	Sword	Opulent Chest	---	---	12	5350000	102600	28:30:00	52.14	210000	2.05	3150	15750	5154	608		Blacksmith	30	Master	26	Jeweler	23		404	---	---	---	123	---	---	---	---	34	---		Opulent Jewel	---	6	Raw Obsidian	---	4		760	---	---	---	---		Gold	Quetzalcoatl Spirit		-20% Craft Time Reduction	6	x1.25 Value Increase	14	-81 Iron Spent	26	-37 Steel Spent	40	Quality Chance x2	60		-10 Jewels Spent	80	-1 Opulent Jewel Spent	80	+10% Multicraft Chance	80		1490	3310	660	3465
Épée d'Artagnan	Sword	Musketeer Mega Pack	---	350	12	2900000	102600	28:30:00	28.27	210000	2.05	3150	15750	5094	1034		Blacksmith	30	Master	26	Jeweler	23		400	---	---	---	120	---	---	---	---	34	---		Sigil of True Grace	---	1	Boreal Gale	---	5		760	---	---	---	0.07		---	---		-20% Craft Time Reduction	6	x1.25 Value Increase	14	-80 Iron Spent	26	-18 Steel Spent	40	Quality Chance x2	60		-10 Jewels Spent	80	-1 Boreal Gale Spent	80	+10% Multicraft Chance	80		1480	3290	660	3465
Thorn of Scorn	Sword	Pumpkin Superior Pack	---	350	12	2900000	102600	28:30:00	28.27	210000	2.05	3150	15750	4943	836		Blacksmith	30	Carpenter	26	Master	23		---	390	---	---	---	115	---	---	34	---	---		Sigil of True Might	---	1	Crush Claw	---	3		760	190	---	---	---		Earth	---		-20% Craft Time Reduction	6	-23 Ironwood Spent	14	x1.25 Value Increase	26	-7 Ether Spent	40	Quality Chance x2	60		-117 Wood Spent	80	-1 Crush Claw Spent	80	+10% Multicraft Chance	80		1480	3290	660	3465
Djinn Pyre	Sword	---	200	---	13	5650000	146400	40:40:00	38.59	235000	1.61	3525	17625	6883	744		Blacksmith	32	Master	28	Jeweler	25		---	---	---	---	139	---	---	---	---	39	5		Outsider's Claw	---	3	Magma Core	---	3		930	---	---	---	---		Fire	---		-30% Craft Time Reduction	4	-28 Steel Spent	10	x1.25 Value Increase	18	-6 Jewels Spent	30	Quality Chance x2	45		-1 Magma Core Spent	100	-1 Essence Spent	100	+10% Multicraft Chance	100		2040	4530	905	3830
Plasma Saber	Sword	Content Pass: Spacefarer	---	375	13	6050000	146400	40:40:00	41.33	235000	1.61	3525	17625	7256	889		Blacksmith	32	Master	28	Jeweler	25		431	---	---	---	---	---	---	---	---	39	5		All-Seeing Eye	---	3	Zirconia Eggshell	---	4		930	---	29	---	---		Light	---		-30% Craft Time Reduction	4	-6 Jewels Spent	10	x1.25 Value Increase	18	-5 Essence Spent	30	Quality Chance x2	45		-86 Iron Spent	100	-1 Zirconia Eggshell Spent	100	+10% Multicraft Chance	100		2105	4680	935	3830
Wood Axe	Axe	---	---	---	1	310	70	00:01:10	4.43	540	7.71	8	40	10	24		Blacksmith	2	---	---	---	---		---	9	---	---	---	---	---	---	---	---	---		Elven Wood	---	1	---	---	---		30	---	---	---	---		---	---		-1 Elven Wood Spent	8	Blueprint: Hatchet	20	x1.5 Value Increase	36	Quality Chance x2	55	Quality Chance x3	85		-50% Craft Time Reduction	5	+30% Multicraft Chance	5	Quality Chance x3	5		15	30	5	40
Hatchet	Axe	---	1	---	2	710	160	00:02:40	4.44	1450	9.06	22	110	16	40		Blacksmith	2	---	---	---	---		---	14	---	---	---	---	---	---	---	---	---		Elven Wood	---	2	---	---	---		50	---	---	---	---		---	---		x1.5 Value Increase	8	Blueprint: Iron Chopper	20	-3 Wood Spent	36	Quality Chance x2	55	Quality Chance x3	85		-50% Craft Time Reduction	5	+20% Multicraft Chance	5	Quality Chance x3	5		20	45	10	70
Iron Chopper	Axe	---	3	---	3	1300	300	00:05:00	4.33	2850	9.5	43	215	21	58		Blacksmith	3	---	---	---	---		---	17	---	---	---	---	---	---	---	---	---		Glow Shroom	---	3	---	---	---		72	---	---	---	---		---	---		x1.5 Value Increase	7	Blueprint: Bardiche	18	-25% Craft Time Reduction	32	-3 Wood Spent	50	Quality Chance x3	80		Quality Chance x3	10	+10% Multicraft Chance	10	-3 Glow Shroom Spent	10		25	60	10	110
Explorer's Axe	Axe	Explorer Pack	---	75	3	1750	400	00:06:40	4.38	3800	9.5	57	285	30	92		Blacksmith	5	---	---	---	---		---	21	---	---	---	---	---	---	---	---	---		---	---	---	---	---	---		84	21	---	---	---		---	---		x1.5 Value Increase	7	-4 Wood Spent	18	-25% Craft Time Reduction	32	-4 Wood Spent	50	Quality Chance x3	80		-11 Wood Spent	10	+10% Multicraft Chance	10	Quality Chance x3	10		30	70	15	135
Bardiche	Axe	---	6	---	4	4500	690	00:11:30	6.52	6100	8.84	92	460	42	86		Blacksmith	7	---	---	---	---		---	30	---	---	---	---	---	---	---	---	---		Silver Dust	---	4	---	---	---		108	---	---	---	---		---	---		x1.25 Value Increase	8	-25% Craft Time Reduction	20	Blueprint: Tomahawk	36	-6 Wood Spent	55	Quality Chance x2	85		-25% Craft Time Reduction	15	+10% Multicraft Chance	15	-2 Silver Dust Spent	15		50	115	25	190
Molten Voulge	Axe	Frozen Chest	---	---	4	6050	870	00:14:30	6.95	7450	8.56	112	560	56	116		Blacksmith	8	---	---	---	---		17	34	---	---	---	---	---	---	---	---	---		Precious Gem	---	3	---	---	---		145	---	---	---	---		---	---		x1.25 Value Increase	8	-25% Craft Time Reduction	20	-7 Wood Spent	36	-9 Iron Spent	55	Quality Chance x2	85		-8 Iron Spent	15	+10% Multicraft Chance	15	-1 Precious Gem Spent	15		55	120	25	225
Dismantler's Pickaxe	Axe	---	---	100	4	5750	870	00:14:30	6.61	7450	8.56	112	560	56	119		Blacksmith	8	---	---	---	---		17	34	---	---	---	---	---	---	---	---	---		Carved Branch	Normal	1	Webbed Wing	---	4		124	---	4	---	---		---	---		-25% Craft Time Reduction	8	-9 Iron Spent	20	x1.25 Value Increase	36	-7 Wood Spent	55	Quality Chance x2	85		-20% Craft Time Reduction	15	+10% Multicraft Chance	15	-1 Carved Branch Spent	15		60	130	25	225
Tomahawk	Axe	---	10	---	5	10000	1380	00:23:00	7.25	10500	7.61	158	790	81	118		Blacksmith	10	---	---	---	---		---	49	---	---	---	10	---	---	---	---	---		Deep Pearl	---	3	Elven Wood	---	2		148	---	---	---	---		---	---		-25% Craft Time Reduction	8	-10 Wood Spent	20	Blueprint: Battleaxe	36	x1.25 Value Increase	55	Quality Chance x2	85		-2 Ironwood Spent	20	+10% Multicraft Chance	20	-1 Deep Pearl Spent	20		75	165	35	295
Companion Axe	Axe	Expert Pack	---	120	5	12000	2160	00:36:00	5.56	14500	6.71	218	1090	150	194		Blacksmith	12	---	---	---	---		---	71	---	---	---	16	---	---	---	---	---		Webbed Wing	---	3	Iron Pine Cone	---	4		176	44	---	---	---		---	---		-25% Craft Time Reduction	9	-14 Wood Spent	22	-3 Ironwood Spent	40	x1.25 Value Increase	60	Quality Chance x2	95		-3 Ironwood Spent	20	+10% Multicraft Chance	20	-4 Iron Pine Cone Spent	20		80	180	35	375
Cold Iron Axe	Axe	Snow Day Mega Pack	---	120	5	14500	2160	00:36:00	6.71	14500	6.71	218	1090	138	171		Blacksmith	12	---	---	---	---		66	---	---	---	14	---	---	---	---	---	---		Rustwyrm Scale	---	3	---	---	---		176	---	6	---	---		Water	---		-25% Craft Time Reduction	9	-10 Iron Spent	22	-10 Iron Spent	40	x1.25 Value Increase	60	Quality Chance x2	95		-3 Steel Spent	20	+10% Multicraft Chance	20	-1 Rustwyrm Scale Spent	20		90	200	40	375
Battleaxe	Axe	---	16	---	6	24000	3300	00:55:00	7.27	19000	5.76	285	1425	216	168		Blacksmith	14	Master	1	---	---		---	99	---	---	---	25	---	---	---	---	---		Hatchet	Normal	1	Moon Crystal	---	3		210	---	---	---	---		---	---		-25% Craft Time Reduction	9	-20 Wood Spent	22	Blueprint: Dwarven Greataxe	40	x1.25 Value Increase	60	Quality Chance x2	95		-5 Ironwood Spent	25	+10% Multicraft Chance	25	-1 Moon Crystal Spent	25		115	255	50	465
Raptor Reaper	Axe	Pollux Mega Pack	---	140	6	40500	3000	00:50:00	13.5	21500	7.17	323	1615	296	211		Blacksmith	15	Master	1	---	---		---	113	---	---	---	29	---	---	---	---	---		Tomahawk	Normal	1	Webbed Wing	---	3		220	---	7	---	---		Air	Eagle Accuracy		-25% Craft Time Reduction	10	-23 Wood Spent	24	x1.25 Value Increase	44	-1 Webbed Wing Spent	70	Quality Chance x2	110		-6 Ironwood Spent	25	+10% Multicraft Chance	25	-2 Webbed Wing Spent	25		145	325	65	515
Dwarven Greataxe	Axe	---	25	---	7	69000	6600	01:50:00	10.45	27000	4.09	405	2025	498	200		Blacksmith	17	Master	13	---	---		---	141	---	---	18	36	---	---	---	---	---		Star Metal	---	3	Rustwyrm Scale	---	5		250	---	---	---	---		---	---		-25% Craft Time Reduction	10	-28 Wood Spent	24	Blueprint: Raider Axe	44	x1.25 Value Increase	70	Quality Chance x2	110		-7 Ironwood Spent	30	+10% Multicraft Chance	30	-5 Rustwyrm Scale Spent	30		190	420	85	620
Stonesplitter	Axe	Ancient Chest	---	---	7	96000	7800	02:10:00	12.31	30000	3.85	450	2250	502	262		Blacksmith	18	Master	14	---	---		---	155	---	---	---	39	---	---	---	---	---		Star Metal	---	1	White Sand	---	8		327	---	---	---	---		---	---		-25% Craft Time Reduction	10	-31 Wood Spent	24	x1.25 Value Increase	44	-1 White Sand Spent	70	Quality Chance x2	110		-8 Ironwood Spent	30	+10% Multicraft Chance	30	-2 White Sand Spent	30		210	470	95	675
Raider Axe	Axe	---	35	---	8	210000	15600	04:20:00	13.46	44000	2.82	660	3300	896	264		Blacksmith	21	Master	17	---	---		---	214	---	---	---	57	---	---	---	8	---		Skull Crusher	Normal	1	Ancient Marble	---	5		330	---	---	---	---		---	---		-25% Craft Time Reduction	11	-43 Wood Spent	28	Blueprint: Executioner	50	x1.25 Value Increase	80	Quality Chance x2	125		-2 Jewels Spent	35	+10% Multicraft Chance	35	-1 Ancient Marble Spent	35		320	715	145	925
Qian Chopper	Axe	Content Pass: Year of the Rabbit	---	180	8	230000	21600	06:00:00	10.65	47500	2.2	713	3565	1114	386		Blacksmith	22	Master	18	---	---		220	---	---	---	60	---	---	---	---	10	---		Bronze Fang	---	7	White Sand	---	7		350	88	---	---	---		---	---		-25% Craft Time Reduction	11	-44 Iron Spent	28	x1.25 Value Increase	50	-1 Bronze Fang Spent	80	Quality Chance x2	125		-2 Jewels Spent	35	+10% Multicraft Chance	35	-1 White Sand Spent	35		340	750	150	995
Executioner	Axe	---	45	---	9	285000	18600	05:10:00	15.32	51500	2.77	773	3865	1224	296		Blacksmith	22	Master	18	---	---		---	244	---	---	---	67	---	---	---	13	---		Ghastly Pennant	---	3	Bronze Fang	---	8		370	---	---	---	---		---	---		-25% Craft Time Reduction	10	-49 Wood Spent	26	Blueprint: Eclipsis	46	x1.25 Value Increase	70	Quality Chance x2	110		-3 Jewels Spent	40	-4 Bronze Fang Spent	40	+10% Multicraft Chance	40		375	830	165	1065
Purgatory	Axe	Forsaken Chest	---	---	9	395000	22200	06:10:00	17.79	56000	2.52	840	4200	1589	362		Blacksmith	23	Master	19	---	---		---	259	---	---	---	72	---	---	---	16	---		Thread of Fate	---	4	White Sand	---	6		452	---	---	---	---		---	---		-25% Craft Time Reduction	10	-52 Wood Spent	26	x1.25 Value Increase	46	-14 Ironwood Spent	70	Quality Chance x2	110		-3 Jewels Spent	40	-4 White Sand Spent	40	+10% Multicraft Chance	40		420	930	185	1140
