Name	Type	Unlock Prerequisite	Research Scrolls	Antique Tokens	Tier	Value	Crafting Time (seconds)	Crafting Time (formatted)	Value / Crafting Time	Merchant XP	Merchant XP / Crafting Time	Worker XP	Fusion XP	Favor	Airship Power		Required Worker 	Worker Level	Required Worker	Worker Level	Required Worker	Worker Level													Component	Component Quality	Amount Needed	Component	Component Quality	Amount Needed		ATK	DEF	HP	EVA	CRIT		Elemental Affinity	Spirit Affinity		Crafting Upgrade 1	Crafts Needed	Crafting Upgrade 2	Crafts Needed	Crafting Upgrade 3	Crafts Needed	Crafting Upgrade 4	Crafts Needed	Crafting Upgrade 5	Crafts Needed		Ascension Upgrade 1	Shards Needed	Ascension Upgrade 2	Shards Needed	Ascension Upgrade 3	Shards Needed		Discount Energy	Surcharge Energy	Suggest Energy	Speed Up Energy
Celesteel Blade	Sword	---	35	---	8	195,000	13,200	03:40:00	14.77	32,500	2.46	488	2,440	753	272		Blacksmith	21	Master	17	---	11		199	---	---	---	51	---	---	---	---	5		Chronos Crystal	---	5	Silk Scarab	---	2		340	---	---	---	---		Light	---		-25% Craft Time Reduction	11	-40 Iron Spent	28	Blueprint: Mythril Edge	50	x1.25 Value Increase	80	Quality Chance x2	125		-2 Jewels Spent	35	+10% Multicraft Chance	35	-2 Silk Scarab Spent	35		310	690	140	860
Damocles	Sword	Timeworn Chest	---	---	8	230,000	16,200	04:30:00	14.20	35,500	2.19	533	2,665	981	326		Blacksmith	21	Master	17	---	12		214	---	---	---	57	---	---	---	6	---		Overgrown Vine	---	4	Moon Crystal	---	7		407	---	---	---	---		---	---		-25% Craft Time Reduction	11	-43 Iron Spent	28	x1.25 Value Increase	50	-11 Steel Spent	80	Quality Chance x2	125		-2 Ether Spent	35	+10% Multicraft Chance	35	-1 Overgrown Vine Spent	35		330	735	145	925
Luxurious Macuahuitl	Sword	Luxurious Chest	---	---	8	365,000	19,200	05:20:00	19.01	39,000	2.03	585	2,925	1,146	296		Blacksmith	22	Master	18	---	13		229	---	---	---	62	---	---	---	---	8		Golden Artifact	---	3	Chronos Crystal	---	4		370	---	---	---	---		Gold	Xolotl Spirit		-25% Craft Time Reduction	11	-46 Iron Spent	28	x1.25 Value Increase	50	-12 Steel Spent	80	Quality Chance x2	125		-2 Jewels Spent	35	+10% Multicraft Chance	35	-1 Chronos Crystal Spent	35		315	700	140	995
Mythril Edge	Sword	---	45	---	9	300,000	20,400	05:40:00	14.71	45,500	2.23	683	3,415	1,375	328		Blacksmith	23	Master	19	---	16		259	---	---	---	72	---	---	---	---	12		Spooky Ectoplasm	---	4	Star Metal	---	5		410	---	---	---	---		---	---		-25% Craft Time Reduction	10	-52 Iron Spent	26	Blueprint: Oversized Cleaver	46	x1.25 Value Increase	70	Quality Chance x2	110		-4 Jewels Spent	40	-3 Star Metal Spent	40	+10% Multicraft Chance	40		385	850	170	1,140
Seafarer Blade	Sword	Champion Clash Superior Pack	---	200	9	420,000	24,600	06:50:00	17.07	49,000	1.99	735	3,675	1,777	409		Blacksmith	24	Master	20	---	17		275	---	---	---	77	---	---	---	---	14		Ghastly Pennant	---	4	Silver Dust	---	3		430	---	13	---	---		Water	---		-25% Craft Time Reduction	10	-55 Iron Spent	26	x1.25 Value Increase	46	-15 Steel Spent	70	Quality Chance x2	110		-4 Jewels Spent	40	-3 Silver Dust Spent	40	+10% Multicraft Chance	40		450	1,000	200	1,220
Gentleman Blade	Sword	Victorian Mega Pack	---	200	9	395,000	24,600	06:50:00	16.06	49,000	1.99	735	3,675	1,777	474		Blacksmith	24	Master	20	---	17		275	---	---	---	77	---	---	---	14	---		Thread of Fate	---	3	Overgrown Vine	---	3		430	108	---	---	---		---	---		-30% Craft Time Reduction	10	-83 Iron Spent	26	x1.25 Value Increase	46	-19 Steel Spent	70	Quality Chance x2	110		-4 Ether Spent	40	-1 Overgrown Vine Spent	40	+10% Multicraft Chance	40		435	970	195	1,220
Oversized Cleaver	Sword	---	60	---	10	605,000	29,400	08:10:00	20.58	53,000	1.80	795	3,975	1,835	360		Blacksmith	25	Master	21	Jeweler	18		290	---	---	---	82	---	---	---	---	17		Crystal Lullaby	---	5	Star Metal	---	6		450	---	---	---	---		---	---		-20% Craft Time Reduction	10	-58 Iron Spent	26	Blueprint: Vorpal Sword	46	x1.25 Value Increase	70	Quality Chance x2	110		-5 Jewels Spent	45	-3 Star Metal Spent	45	+10% Multicraft Chance	45		805	1,790	360	2,335
Caladbolg	Sword	Sunken Chest	---	---	10	665,000	34,800	09:40:00	19.11	56,500	1.62	848	4,240	2,352	434		Blacksmith	25	Master	21	Jeweler	18		306	---	---	---	87	---	---	---	---	19		Deep Coral	---	5	Moon Crystal	---	6		542	---	---	---	---		---	---		-20% Craft Time Reduction	9	-61 Iron Spent	22	x1.25 Value Increase	40	-2 Deep Coral Spent	65	Quality Chance x2	100		-6 Jewels Spent	45	-6 Moon Crystal Spent	45	+10% Multicraft Chance	45		820	1,825	365	2,480
Dragon Dao	Sword	Dragon Siblings Superior Offer	---	250	10	650,000	34,800	09:40:00	18.68	56,500	1.62	848	4,240	2,352	518		Blacksmith	25	Master	21	Jeweler	18		306	---	---	---	87	---	---	---	19	---		Precious Shell	---	4	Overgrown Vine	---	3		470	118	---	---	---		---	---		-30% Craft Time Reduction	9	-92 Iron Spent	22	x1.25 Value Increase	40	-22 Steel Spent	65	Quality Chance x2	100		-6 Ether Spent	45	-1 Overgrown Vine Spent	45	+10% Multicraft Chance	45		835	1,850	370	2,480
Tiger Blade	Sword	Content Pass: Year of the Tiger	---	250	10	680,000	42,000	11:40:00	16.19	61,000	1.45	915	4,575	2,705	459		Blacksmith	26	Master	22	Jeweler	19		322	---	---	---	93	---	---	---	---	22		Deep Coral	---	4	Precious Shell	---	3		480	---	15	---	---		---	Tiger Power		-30% Craft Time Reduction	9	-97 Iron Spent	22	x1.25 Value Increase	40	-1 Precious Shell Spent	65	Quality Chance x2	100		-7 Jewels Spent	45	-28 Steel Spent	45	+10% Multicraft Chance	45		850	1,890	380	2,635
Vorpal Sword	Sword	---	85	---	11	1,400,000	50,400	14:00:00	27.78	97,500	1.93	1,463	7,315	2,736	464		Blacksmith	27	Master	23	Jeweler	20		338	---	---	---	98	---	---	---	---	23		Sigil of Might	---	1	Boreal Gale	---	4		580	---	---	---	---		---	---		-20% Craft Time Reduction	6	-68 Iron Spent	16	Blueprint: Excalibur	28	x1.25 Value Increase	45	Quality Chance x2	70		-7 Jewels Spent	60	-1 Boreal Gale Spent	60	+10% Multicraft Chance	60		1,045	2,320	465	2,790
Elegant Rapier	Sword	Victorian Spring Mega Pack	---	300	11	1,500,000	50,400	14:00:00	29.76	97,500	1.93	1,463	7,315	3,061	554		Blacksmith	27	Master	23	Jeweler	20		338	---	---	---	98	---	---	---	---	23		Sigil of Grace	---	1	Zirconia Eggshell	---	3		580	---	18	---	---		---	---		-20% Craft Time Reduction	6	-68 Iron Spent	16	x1.25 Value Increase	28	-20 Steel Spent	45	Quality Chance x2	70		-7 Jewels Spent	60	-1 Zirconia Eggshell Spent	60	+10% Multicraft Chance	60		1,080	2,395	480	2,790
Tsukuyomi	Sword	Moon Festival Superior Pack	---	300	11	1,650,000	60,000	16:40:00	27.50	105,000	1.75	1,575	7,875	3,479	720		Blacksmith	27	Master	23	Jeweler	20		354	---	---	---	103	---	---	---	---	25		Sigil of Might	---	1	Grim Talon	---	3		600	---	---	---	0.05		Dark	---		-25% Craft Time Reduction	6	-21 Steel Spent	16	x1.25 Value Increase	28	-4 Jewels Spent	45	Quality Chance x2	70		-106 Iron Spent	60	-4 Jewels Spent	60	+10% Multicraft Chance	60		1,130	2,510	500	2,950
Excalibur	Sword	---	125	---	12	2,600,000	85,800	23:50:00	30.30	195,000	2.27	2,925	14,625	4,046	584		Blacksmith	29	Master	25	Jeweler	22		387	---	---	---	113	---	---	---	---	31		Sigil of True Might	---	1	Raw Obsidian	---	3		730	---	---	---	---		Light	---		-20% Craft Time Reduction	6	-77 Iron Spent	14	x1.25 Value Increase	26	-17 Steel Spent	40	Quality Chance x2	60		-9 Jewels Spent	80	-17 Steel Spent	80	+10% Multicraft Chance	80		1,405	3,120	625	3,290
Titan Sword	Sword	Shop Titans Superior Pack	---	350	12	2,800,000	85,800	23:50:00	32.63	195,000	2.27	2,925	14,625	4,570	804		Blacksmith	29	Master	25	Priestess	22		390	---	---	---	110	---	---	---	31	---		Sigil of True Might	---	1	Zirconia Eggshell	---	4		730	183	---	---	---		Light	---		-20% Craft Time Reduction	6	-78 Iron Spent	14	-17 Steel Spent	26	x1.25 Value Increase	40	Quality Chance x2	60		-8 Ether Spent	80	-17 Steel Spent	80	+15% Multicraft Chance	80		1,455	3,235	645	3,290
Opulent Brand	Sword	Opulent Chest	---	---	12	5,350,000	102,600	28:30:00	52.14	210,000	2.05	3,150	15,750	5,154	608		Blacksmith	30	Master	26	Jeweler	23		404	---	---	---	123	---	---	---	---	34		Opulent Jewel	---	6	Raw Obsidian	---	4		760	---	---	---	---		Gold	Quetzalcoatl Spirit		-20% Craft Time Reduction	6	x1.25 Value Increase	14	-81 Iron Spent	26	-37 Steel Spent	40	Quality Chance x2	60		-10 Jewels Spent	80	-1 Opulent Jewel Spent	80	+10% Multicraft Chance	80		1,490	3,310	660	3,465
Wood Axe	Axe	---	---	---	1	310	70	00:01:10	4.43	540	7.71	8	40	10	24		Blacksmith	2	---	1	---	1		---	9	---	---	---	---	---	---	---	---		Elven Wood	---	1	---	---	---		30	---	---	---	---		---	---		-1 Elven Wood Spent	8	Blueprint: Hatchet	20	x1.5 Value Increase	36	Quality Chance x2	55	Quality Chance x3	85		-50% Craft Time Reduction	5	+30% Multicraft Chance	5	Quality Chance x3	5		15	30	5	40
Hatchet	Axe	---	1	---	2	710	160	00:02:40	4.44	1,450	9.06	22	110	16	40		Blacksmith	2	---	1	---	1		---	14	---	---	---	---	---	---	---	---		Elven Wood	---	2	---	---	---		50	---	---	---	---		---	---		x1.5 Value Increase	8	Blueprint: Iron Chopper	20	-3 Wood Spent	36	Quality Chance x2	55	Quality Chance x3	85		-50% Craft Time Reduction	5	+20% Multicraft Chance	5	Quality Chance x3	5		20	45	10	70
Iron Chopper	Axe	---	3	---	3	1,300	300	00:05:00	4.33	2,850	9.50	43	215	21	58		Blacksmith	3	---	1	---	1		---	17	---	---	---	---	---	---	---	---		Glow Shroom	---	3	---	---	---		72	---	---	---	---		---	---		x1.5 Value Increase	7	Blueprint: Bardiche	18	-25% Craft Time Reduction	32	-3 Wood Spent	50	Quality Chance x3	80		Quality Chance x3	10	+10% Multicraft Chance	10	-3 Glow Shroom Spent	10		25	60	10	110
Explorer's Axe	Axe	Explorer Pack	---	75	3	1,750	400	00:06:40	4.38	3,800	9.50	57	285	30	92		Blacksmith	5	---	1	---	1		---	21	---	---	---	---	---	---	---	---		---	---	---	---	---	---		84	21	---	---	---		---	---		x1.5 Value Increase	7	-4 Wood Spent	18	-25% Craft Time Reduction	32	-4 Wood Spent	50	Quality Chance x3	80		-11 Wood Spent	10	+10% Multicraft Chance	10	Quality Chance x3	10		30	70	15	135
Bardiche	Axe	---	6	---	4	4,500	690	00:11:30	6.52	6,100	8.84	92	460	42	86		Blacksmith	7	---	1	---	1		---	30	---	---	---	---	---	---	---	---		Silver Dust	---	4	---	---	---		108	---	---	---	---		---	---		x1.25 Value Increase	8	-25% Craft Time Reduction	20	Blueprint: Tomahawk	36	-6 Wood Spent	55	Quality Chance x2	85		-25% Craft Time Reduction	15	+10% Multicraft Chance	15	-2 Silver Dust Spent	15		50	115	25	190
Molten Voulge	Axe	Frozen Chest	---	---	4	6,050	870	00:14:30	6.95	7,450	8.56	112	560	56	116		Blacksmith	8	---	1	---	1		17	34	---	---	---	---	---	---	---	---		Precious Gem	---	3	---	---	---		145	---	---	---	---		---	---		x1.25 Value Increase	8	-25% Craft Time Reduction	20	-7 Wood Spent	36	-9 Iron Spent	55	Quality Chance x2	85		-8 Iron Spent	15	+10% Multicraft Chance	15	-1 Precious Gem Spent	15		55	120	25	225
Dismantler's Pickaxe	Axe	---	---	100	4	5,750	870	00:14:30	6.61	7,450	8.56	112	560	56	119		Blacksmith	8	---	1	---	1		17	34	---	---	---	---	---	---	---	---		Carved Branch	Normal	1	Webbed Wing	---	4		124	---	4	---	---		---	---		-25% Craft Time Reduction	8	-9 Iron Spent	20	x1.25 Value Increase	36	-7 Wood Spent	55	Quality Chance x2	85		-20% Craft Time Reduction	15	+10% Multicraft Chance	15	-1 Carved Branch Spent	15		60	130	25	225
Tomahawk	Axe	---	10	---	5	10,000	1,380	00:23:00	7.25	10,500	7.61	158	790	81	118		Blacksmith	10	---	1	---	1		---	49	---	---	---	10	---	---	---	---		Deep Pearl	---	3	Elven Wood	---	2		148	---	---	---	---		---	---		-25% Craft Time Reduction	8	-10 Wood Spent	20	Blueprint: Battleaxe	36	x1.25 Value Increase	55	Quality Chance x2	85		-2 Ironwood Spent	20	+10% Multicraft Chance	20	-1 Deep Pearl Spent	20		75	165	35	295
Companion Axe	Axe	Expert Pack	---	120	5	12,000	2,160	00:36:00	5.56	14,500	6.71	218	1,090	150	194		Blacksmith	12	---	6	---	1		---	71	---	---	---	16	---	---	---	---		Webbed Wing	---	3	Iron Pine Cone	---	4		176	44	---	---	---		---	---		-25% Craft Time Reduction	9	-14 Wood Spent	22	-3 Ironwood Spent	40	x1.25 Value Increase	60	Quality Chance x2	95		-3 Ironwood Spent	20	+10% Multicraft Chance	20	-4 Iron Pine Cone Spent	20		80	180	35	375
Cold Iron Axe	Axe	Snow Day Mega Pack	---	120	5	14,500	2,160	00:36:00	6.71	14,500	6.71	218	1,090	138	171		Blacksmith	12	---	6	---	1		66	---	---	---	14	---	---	---	---	---		Rustwyrm Scale	---	3	---	---	---		176	---	6	---	---		Water	---		-25% Craft Time Reduction	9	-10 Iron Spent	22	-10 Iron Spent	40	x1.25 Value Increase	60	Quality Chance x2	95		-3 Steel Spent	20	+10% Multicraft Chance	20	-1 Rustwyrm Scale Spent	20		90	200	40	375
Battleaxe	Axe	---	16	---	6	24,000	3,300	00:55:00	7.27	19,000	5.76	285	1,425	216	168		Blacksmith	14	Master	1	---	4		---	99	---	---	---	25	---	---	---	---		Hatchet	Normal	1	Moon Crystal	---	3		210	---	---	---	---		---	---		-25% Craft Time Reduction	9	-20 Wood Spent	22	Blueprint: Dwarven Greataxe	40	x1.25 Value Increase	60	Quality Chance x2	95		-5 Ironwood Spent	25	+10% Multicraft Chance	25	-1 Moon Crystal Spent	25		115	255	50	465
Raptor Reaper	Axe	Pollux Mega Pack	---	140	6	40,500	3,000	00:50:00	13.50	21,500	7.17	323	1,615	296	211		Blacksmith	15	Master	1	---	5		---	113	---	---	---	29	---	---	---	---		Tomahawk	Normal	1	Webbed Wing	---	3		220	---	7	---	---		Air	Eagle Accuracy		-25% Craft Time Reduction	10	-23 Wood Spent	24	x1.25 Value Increase	44	-1 Webbed Wing Spent	70	Quality Chance x2	110		-6 Ironwood Spent	25	+10% Multicraft Chance	25	-2 Webbed Wing Spent	25		145	325	65	515
Dwarven Greataxe	Axe	---	25	---	7	69,000	6,600	01:50:00	10.45	27,000	4.09	405	2,025	498	200		Blacksmith	17	Master	13	---	7		---	141	---	---	18	36	---	---	---	---		Star Metal	---	3	Rustwyrm Scale	---	5		250	---	---	---	---		---	---		-25% Craft Time Reduction	10	-28 Wood Spent	24	Blueprint: Raider Axe	44	x1.25 Value Increase	70	Quality Chance x2	110		-7 Ironwood Spent	30	+10% Multicraft Chance	30	-5 Rustwyrm Scale Spent	30		190	420	85	620
Stonesplitter	Axe	Ancient Chest	---	---	7	96,000	7,800	02:10:00	12.31	30,000	3.85	450	2,250	502	262		Blacksmith	18	Master	14	---	8		---	155	---	---	---	39	---	---	---	---		Star Metal	---	1	White Sand	---	8		327	---	---	---	---		---	---		-25% Craft Time Reduction	10	-31 Wood Spent	24	x1.25 Value Increase	44	-1 White Sand Spent	70	Quality Chance x2	110		-8 Ironwood Spent	30	+10% Multicraft Chance	30	-2 White Sand Spent	30		210	470	95	675
Raider Axe	Axe	---	35	---	8	210,000	15,600	04:20:00	13.46	44,000	2.82	660	3,300	896	264		Blacksmith	21	Master	17	---	12		---	214	---	---	---	57	---	---	---	8		Skull Crusher	Normal	1	Ancient Marble	---	5		330	---	---	---	---		---	---		-25% Craft Time Reduction	11	-43 Wood Spent	28	Blueprint: Executioner	50	x1.25 Value Increase	80	Quality Chance x2	125		-2 Jewels Spent	35	+10% Multicraft Chance	35	-1 Ancient Marble Spent	35		320	715	145	925
Executioner	Axe	---	45	---	9	285,000	18,600	05:10:00	15.32	51,500	2.77	773	3,865	1,224	296		Blacksmith	22	Master	18	---	15		---	244	---	---	---	67	---	---	---	13		Ghastly Pennant	---	3	Bronze Fang	---	8		370	---	---	---	---		---	---		-25% Craft Time Reduction	10	-49 Wood Spent	26	Blueprint: Eclipsis	46	x1.25 Value Increase	70	Quality Chance x2	110		-3 Jewels Spent	40	-4 Bronze Fang Spent	40	+10% Multicraft Chance	40		375	830	165	1,065
Purgatory	Axe	Forsaken Chest	---	---	9	395,000	22,200	06:10:00	17.79	56,000	2.52	840	4,200	1,589	362		Blacksmith	23	Master	19	---	16		---	259	---	---	---	72	---	---	---	16		Thread of Fate	---	4	White Sand	---	6		452	---	---	---	---		---	---		-25% Craft Time Reduction	10	-52 Wood Spent	26	x1.25 Value Increase	46	-14 Ironwood Spent	70	Quality Chance x2	110		-3 Jewels Spent	40	-4 White Sand Spent	40	+10% Multicraft Chance	40		420	930	185	1,140
Axe of The Fifth	Axe	Cinco De Mayo Mega Pack	---	200	9	415,000	22,200	06:10:00	18.69	56,000	2.52	840	4,200	1,589	418		Blacksmith	23	Master	19	---	16		---	259	---	---	---	72	---	---	---	16		Spooky Ectoplasm	---	4	Moon Crystal	---	5		380	95	---	---	---		---	---		-25% Craft Time Reduction	10	-52 Wood Spent	26	x1.25 Value Increase	46	-14 Ironwood Spent	70	Quality Chance x2	110		-3 Jewels Spent	40	-4 Moon Crystal Spent	40	+10% Multicraft Chance	40		450	995	200	1,140
Eclipsis	Axe	---	60	---	10	645,000	32,400	09:00:00	19.91	65,000	2.01	975	4,875	1,909	336		Blacksmith	25	Master	21	Carpenter	18		---	290	---	---	---	82	---	---	---	22		Deep Coral	---	5	Evil Eye	---	6		420	---	---	---	---		---	---		-20% Craft Time Reduction	10	-58 Wood Spent	26	Blueprint: Manticore Slayer	46	x1.25 Value Increase	70	Quality Chance x2	110		-4 Jewels Spent	45	-3 Evil Eye Spent	45	+10% Multicraft Chance	45		830	1,845	370	2,335
Terra Tyrannis	Axe	Sunken Chest	---	---	10	715,000	38,400	10:40:00	18.62	69,500	1.81	1,043	5,215	2,451	410		Blacksmith	25	Master	21	Carpenter	18		---	306	---	---	---	87	---	---	---	25		Precious Shell	---	4	Overgrown Vine	---	4		512	---	---	---	---		---	---		-20% Craft Time Reduction	9	-61 Wood Spent	22	x1.25 Value Increase	40	-17 Ironwood Spent	65	Quality Chance x2	100		-5 Jewels Spent	45	-2 Overgrown Vine Spent	45	+10% Multicraft Chance	45		850	1,890	380	2,480
Opulent Grandaxe	Axe	Opulent Chest	---	---	10	1,650,000	46,200	12:50:00	35.71	74,500	1.61	1,118	5,590	2,831	368		Blacksmith	26	Master	22	Carpenter	19		---	322	---	---	---	93	---	---	---	29		Opulent Jewel	---	5	Chronos Crystal	---	3		460	---	---	---	---		Gold	Quetzalcoatl Spirit		-20% Craft Time Reduction	9	-64 Wood Spent	22	x1.25 Value Increase	40	-19 Ironwood Spent	65	Quality Chance x2	100		-6 Jewels Spent	45	-1 Chronos Crystal Spent	45	+10% Multicraft Chance	45		975	2,170	435	2,635
Kodiak Kleaver	Axe	Wild Love Mega Pack	---	250	10	685,000	46,200	12:50:00	14.83	74,500	1.61	1,118	5,590	2,831	438		Blacksmith	26	Master	22	Carpenter	19		---	322	---	---	---	93	---	---	---	29		Crystal Lullaby	---	3	Ghastly Pennant	---	3		460	---	14	---	---		---	Bear Vitality		-20% Craft Time Reduction	9	-64 Wood Spent	22	x1.25 Value Increase	40	-19 Ironwood Spent	65	Quality Chance x2	100		-6 Jewels Spent	45	-1 Ghastly Pennant Spent	45	+10% Multicraft Chance	45		855	1,900	380	2,635
Manticore Slayer	Axe	---	85	---	11	1,450,000	55,200	15:20:00	26.27	120,000	2.17	1,800	9,000	2,889	432		Blacksmith	27	Master	23	Carpenter	20		---	338	---	---	---	98	---	---	---	31		Sigil of Might	---	1	Grim Talon	---	4		540	---	---	---	---		---	Chimera Malignity		-20% Craft Time Reduction	6	-68 Wood Spent	16	Blueprint: Crescent of Conquest	28	x1.25 Value Increase	45	Quality Chance x2	70		-6 Jewels Spent	60	-1 Grim Talon Spent	60	+10% Multicraft Chance	60		1,060	2,355	470	2,790
